StockCode,description,total_quantity_sold,total_revenue
21382,SET/4 SPRING FLOWER DECORATION,1040,1151.8
21383,PACK OF 12 STICKY BUNNIES,765,497.25000000000006
21385,IVORY HANGING DECORATION  HEART,3558,2952.54
21386,IVORY HANGING DECORATION  EGG,689,253.01
21389,IVORY HANGING DECORATION  BIRD,1015,862.75
21390,FILIGRIS HEART WITH BUTTERFLY,3778,4540.38
21391,FRENCH LAVENDER SCENT HEART,965,846.6
21392,RED POLKADOT PUDDING BOWL,32,38.13
21393,BLUE POLKADOT PUDDING BOWL,29,38.67
21394,RED POLKADOT BEAKER ,3822,1538.62
21395,BLUE POLKADOT BEAKER ,2806,1094.34
21397,BLUE POLKADOT EGG CUP ,1016,445.26
21398,RED POLKADOT COFFEE  MUG,1499,642.75
21399,BLUE POLKADOT COFFEE MUG,2035,826.14
21400,RED PUDDING SPOON,837,109.74
21401,BLUE PUDDING SPOON,1010,132.29999999999998
21402,RED  EGG  SPOON,1290,155.4
21403,BLUE EGG  SPOON,1718,258.71999999999997
21407,BROWN CHECK CAT DOORSTOP ,233,965.0
21408,SPOTTY PINK DUCK DOORSTOP,221,752.51
21411,GINGHAM HEART  DOORSTOP RED,714,2371.2599999999998
21413,PERIWINKLE T-LIGHT HOLDER,36,45.0
21414,SCALLOP SHELL SOAP DISH,1,2.1
21415,CLAM SHELL SMALL ,202,375.73
21416,CLAM SHELL LARGE,5,18.75
21417,COCKLE SHELL DISH,289,420.88
21418,STARFISH SOAP DISH,59,115.25
21420,OYSTER TRINKET BOX,47,83.87
21421,PORCELAIN ROSE LARGE ,298,345.14
21422,PORCELAIN ROSE SMALL,1560,1218.36
21424,WOODLAND STORAGE BOX LARGE ,227,612.05
21425,SKULLS STORAGE BOX LARGE,67,188.05
21426,WOODLAND STORAGE BOX SMALL,213,411.30000000000007
21427,SKULLS STORAGE BOX SMALL,77,161.70000000000002
21428,SET3 BOOK BOX GREEN GINGHAM FLOWER ,1098,4259.3
21429,RED GINGHAM ROSE JEWELLERY BOX,1612,2917.2
21430,SET/3 RED GINGHAM ROSE STORAGE BOX,2698,9401.82
21439,BASKET OF TOADSTOOLS,1322,1574.98
21441,BLUE BIRDHOUSE DECORATION,376,223.3
21442,GREEN BIRDHOUSE DECORATION,386,229.45999999999998
21445,12 PINK ROSE PEG PLACE SETTINGS,214,267.5
21446,12 RED ROSE PEG PLACE SETTINGS,392,490.0
21447,12 IVORY ROSE PEG PLACE SETTINGS,749,936.25
21448,12 DAISY PEGS IN WOOD BOX,322,531.3
21452,TOADSTOOL MONEY BOX,745,2140.15
21454,PAINTED PINK RABBIT ,317,269.45
21455,PAINTED YELLOW WOODEN DAISY,271,230.35
21456,2 PICTURE BOOK EGGS EASTER CHICKS,161,201.25
21457,2 PICTURE BOOK EGGS EASTER DUCKS,115,143.75
21458,2 PICTURE BOOK EGGS EASTER BUNNY,158,197.5
21459,YELLOW EASTER EGG HUNT START POST,75,146.25
21460,GREEN EASTER EGG HUNT START POST,26,50.699999999999996
21461,BLUE EASTER EGG HUNT START POST,8,15.6
21462,"NURSERY A,B,C PAINTED LETTERS",192,859.2
21463,MIRRORED DISCO BALL ,642,3393.4
21464,DISCO BALL ROTATOR BATTERY OPERATED,244,1034.0
21465,PINK FLOWER CROCHET FOOD COVER,193,727.46
21466,RED FLOWER CROCHET FOOD COVER,267,982.49
21467,CHERRY CROCHET FOOD COVER,215,813.67
21468,BUTTERFLY CROCHET FOOD COVER,123,468.67
21469,POLKA DOT RAFFIA FOOD COVER,250,941.21
21470,FLOWER VINE RAFFIA FOOD COVER,336,1271.13
21471,STRAWBERRY RAFFIA FOOD COVER,493,1695.15
21472,LADYBIRD + BEE RAFFIA FOOD COVER,119,446.25
21473,SWEETHEART CREAM STEEL TABLE RECT,22,438.9
21476,STEEL SWEETHEART ROUND TABLE CREAM,31,463.45
21479,WHITE SKULL HOT WATER BOTTLE ,2699,10215.47
21481,FAWN BLUE HOT WATER BOTTLE,2919,9196.050000000001
21484,CHICK GREY HOT WATER BOTTLE,1545,5770.27
21485,RETROSPOT HEART HOT WATER BOTTLE,3326,15827.18
21486,PINK HEART DOTS HOT WATER BOTTLE,8,30.0
21488,RED WHITE SCARF  HOT WATER BOTTLE,3,11.850000000000001
21494,ROTATING LEAVES T-LIGHT HOLDER,1222,1617.23
21495,SKULLS AND CROSSBONES WRAP,5800,2356.0
21497,FANCY FONTS BIRTHDAY WRAP,8550,3409.0
21498,RED RETROSPOT WRAP ,10522,4310.24
21499,BLUE POLKADOT WRAP,6900,2798.0
21500,PINK POLKADOT WRAP ,6350,2593.0
21503,TOYBOX  WRAP ,726,288.92
21504,SKULLS GREETING CARD,1860,753.12
21506,"FANCY FONT BIRTHDAY CARD, ",4704,1895.76
21507,"ELEPHANT, BIRTHDAY CARD, ",3194,1308.96
21508,VINTAGE KID DOLLY CARD ,2381,966.07
21509,COWBOYS AND INDIANS BIRTHDAY CARD ,3581,1444.75
21518,BANK ACCOUNT  GREETING  CARD ,265,106.97999999999999
21519,GIN & TONIC DIET GREETING CARD ,3217,1320.9
21520,BOOZE & WOMEN GREETING CARD ,457,187.62
21523,DOORMAT FANCY FONT HOME SWEET HOME,3087,19149.07
21524,DOORMAT SPOTTY HOME SWEET HOME,1657,12055.32
21527,RED RETROSPOT TRADITIONAL TEAPOT ,464,3508.8
21528,DAIRY MAID TRADITIONAL TEAPOT ,176,1209.2
21530,DAIRY MAID TOASTRACK,756,690.12
21531,RED RETROSPOT SUGAR JAM BOWL,1469,3448.95
21533,RETROSPOT LARGE MILK JUG,1307,6217.650000000001
21534,DAIRY MAID LARGE MILK JUG,321,1563.75
21535,RED RETROSPOT SMALL MILK JUG,2450,5804.7
21537,RED RETROSPOT PUDDING BOWL,326,1337.5
21538,DAIRY MAID  PUDDING BOWL,5,18.75
21539,RED RETROSPOT BUTTER DISH,936,4414.8
21544,SKULLS  WATER TRANSFER TATTOOS ,1869,1519.85
21547,CERAMIC BIRDHOUSE CRESTED TIT SMALL,72,212.40000000000003
21555,CERAMIC STRAWBERRY TRINKET TRAY,55,140.25
21556,CERAMIC STRAWBERRY MONEY BOX,804,1859.3999999999999
21557,SET OF 6 FUNKY BEAKERS,300,854.0400000000001
21558,SKULL LUNCH BOX WITH CUTLERY ,1940,4609.5
21559,STRAWBERRY LUNCH BOX WITH CUTLERY,3711,8721.89
21561,DINOSAUR LUNCH BOX WITH CUTLERY,1227,2868.7799999999997
21562,HAWAIIAN GRASS SKIRT ,319,368.35
21563,RED HEART SHAPE LOVE BUCKET ,1358,2591.02
21564,PINK  HEART SHAPE LOVE BUCKET ,1016,1686.5200000000002
21576,LETS GO SHOPPING COTTON TOTE BAG,177,403.67
21577,SAVE THE PLANET COTTON TOTE BAG,549,1235.25
21578,WOODLAND DESIGN  COTTON TOTE BAG,583,1311.75
21579,LOLITA  DESIGN  COTTON TOTE BAG,152,342.0
21580,RABBIT  DESIGN  COTTON TOTE BAG,90,202.5
21581,SKULLS  DESIGN  COTTON TOTE BAG,165,371.25
21584,RETROSPOT SMALL TUBE MATCHES,1059,1743.35
21586,KINGS CHOICE GIANT TUBE MATCHES,731,1691.25
21587,COSY HOUR GIANT TUBE MATCHES,195,475.65
21588,RETROSPOT GIANT TUBE MATCHES,1494,3442.5
21591,COSY HOUR CIGAR BOX MATCHES ,1183,1451.39
21592,RETROSPOT CIGAR BOX MATCHES ,2138,2135.32
21609,SET 12 LAVENDER  BOTANICAL T-LIGHTS,760,2069.2
21613,S/12 VANILLA  BOTANICAL T-LIGHTS,221,632.7500000000001
21614,SET OF 12 ROSE BOTANICAL T-LIGHTS,48,141.60000000000002
21615,4 LAVENDER BOTANICAL DINNER CANDLES,839,1193.75
21616,4 PEAR BOTANICAL DINNER CANDLES,755,1093.75
21617,4 LILY  BOTANICAL DINNER CANDLES,470,848.0
21618,4 WILDFLOWER BOTANICAL CANDLES,301,471.25
21619,4 VANILLA BOTANICAL CANDLES,896,1247.5
21620,SET OF 4 ROSE BOTANICAL CANDLES,795,1188.75
21621,VINTAGE UNION JACK BUNTING,2538,20945.16
21622,VINTAGE UNION JACK CUSHION COVER,358,1755.3000000000002
21623,VINTAGE UNION JACK MEMOBOARD,3252,22679.28
21624,VINTAGE UNION JACK DOORSTOP,203,1184.8500000000001
21625,VINTAGE UNION JACK APRON,303,2112.3900000000003
21626,VINTAGE UNION JACK PENNANT,741,1444.95
21627,ELEPHANT CARNIVAL POUFFE,38,568.0999999999999
21628,TRIANGULAR POUFFE VINTAGE ,43,605.4499999999999
21629,SQUARE FLOOR CUSHION VINTAGE RED,51,395.45000000000005
21630,FLOOR CUSHION ELEPHANT CARNIVAL,54,461.3
21631,HIPPY CHIC DECORATIVE PARASOL,155,761.85
21632,VINTAGE PINK DECORATIVE PARASOL,60,237.00000000000003
21633,SUNFLOWER DECORATIVE PARASOL,87,528.45
21634,ASSORTED MINI MADRAS NOTEBOOK,948,462.6
21635,MADRAS NOTEBOOK LARGE ,270,367.5
21636,MADRAS NOTEBOOK MEDIUM,911,699.45
21637,ASSORTED SANSKRIT MINI NOTEBOOK,109,136.25
21638,ASSORTED TUTTI FRUTTI NOTEBOOK,233,489.30000000000007
21640,ASSORTED TUTTI FRUTTI  FOB NOTEBOOK,529,437.16999999999996
21641,ASSORTED TUTTI FRUTTI KEYRING BALL,1102,367.97999999999996
21642,ASSORTED TUTTI FRUTTI PEN,2451,800.9499999999999
21643,ASSORTED TUTTI FRUTTI MIRROR,490,594.26
21644,ASSORTED TUTTI FRUTTI HEART BOX,215,268.75
21647,ASSORTED TUTTI FRUTTI LARGE PURSE,106,222.60000000000002
21648,ASSORTED TUTTI FRUTTI SMALL PURSE,646,780.14
21650,ASSORTED TUTTI FRUTTI BRACELET,2197,440.89000000000004
21651,HANGING GLASS ETCHED TEALIGHT,125,191.84999999999997
21654,RIDGED GLASS FINGER BOWL,934,427.86
21655,HANGING RIDGE GLASS T-LIGHT HOLDER,36,60.84
21656,RIDGED GLASS POSY VASE ,117,169.64999999999998
21657,MILK BOTTLE WITH GLASS STOPPER ,28,194.60000000000002
21658,GLASS  BEURRE DISH,770,2862.2200000000003
21661,VINTAGE GLASS TEA CADDY,3,17.85
21662,VINTAGE GLASS COFFEE CADDY,74,416.3
21664,RIDGED GLASS STORAGE JAR CREAM LID,96,342.72
21666,RIDGED GLASS T-LIGHT HOLDER,384,249.60000000000002
21667,GLASS CAKE COVER AND PLATE,2,29.9
21668,RED STRIPE CERAMIC DRAWER KNOB,5001,6177.53
21669,BLUE STRIPE CERAMIC DRAWER KNOB,4936,6239.4
21670,BLUE SPOT CERAMIC DRAWER KNOB,3962,4971.22
21671,RED SPOT CERAMIC DRAWER KNOB,4061,5018.65
21672,WHITE SPOT RED CERAMIC DRAWER KNOB,4534,5578.14
21673,WHITE SPOT BLUE CERAMIC DRAWER KNOB,3971,4929.95
21675,BUTTERFLIES STICKERS,519,442.71
21676,FLOWERS  STICKERS,211,191.04999999999998
21677,HEARTS  STICKERS,766,655.0
21678,PAISLEY PATTERN  STICKERS,104,88.39999999999999
21679,SKULLS  STICKERS,1054,891.2199999999999
21680,WOODLAND  STICKERS,804,683.4
21681,GIANT MEDINA STAMPED METAL BOWL ,2,19.9
21682,LARGE MEDINA STAMPED METAL BOWL ,177,881.1600000000001
21683,MEDIUM MEDINA STAMPED METAL BOWL ,297,876.1500000000001
21684,SMALL MEDINA STAMPED METAL BOWL ,752,565.21
21686,MEDINA STAMPED METAL STOOL,33,1268.3500000000001
21688,SILVER PLATE CANDLE BOWL SMALL,316,932.2000000000002
21689,SILVER VANILLA  FLOWER CANDLE POT,92,345.0
21690,SILVER  CANDLEPOT JARDIN ,22,82.5
21692,SILVER LATTICE VANILLA CANDLE POT,17,63.75
21693,SMALL HAMMERED SILVER CANDLEPOT ,346,1020.7000000000002
21694,SMALL REGAL  SILVER CANDLEPOT ,303,817.0500000000001
21695,SMALL SILVER FLOWER CANDLE POT,277,817.1500000000001
21696,SMALL SILVER TRELLIS CANDLEPOT,220,649.0000000000001
21698,MOCK LOBSTER FRIDGE MAGNET,266,116.62
21700,BIG DOUGHNUT FRIDGE MAGNETS,1266,1076.1
21703,BAG 125g SWIRLY MARBLES,9272,3431.35
21704,BAG 250g SWIRLY MARBLES,5004,3856.3799999999997
21705,BAG 500g SWIRLY MARBLES,1377,1299.2099999999998
21706,FOLDING UMBRELLA RED/WHITE POLKADOT,228,1129.63
21707,FOLDING UMBRELLA BLACKBLUE POLKADOT,120,601.22
21708,FOLDING UMBRELLA CREAM POLKADOT,138,677.5
21709,FOLDING UMBRELLA CHOCOLATE POLKADOT,87,430.06
21710,FOLDING UMBRELLA PINKWHITE POLKADOT,84,412.41
21711,FOLDING UMBRELLA WHITE/RED POLKADOT,86,420.1
21713,CITRONELLA CANDLE FLOWERPOT,692,1429.2
21714,CITRONELLA CANDLE GARDEN POT,1079,1348.75
21715,GIRLS VINTAGE TIN SEASIDE BUCKET,1141,2736.75
21716,BOYS VINTAGE TIN SEASIDE BUCKET,1190,2880.92
21717,EASTER TIN BUCKET,405,931.95
21718,RED METAL BEACH SPADE ,1288,1612.42
21719,LOVELY BONBON STICKER SHEET,301,255.85
21720,CAKE SHOP  STICKER SHEET,57,48.449999999999996
21721,CANDY SHOP  STICKER SHEET,175,148.75
21722,SWEET PUDDING STICKER SHEET,65,55.24999999999999
21723,ALPHABET HEARTS STICKER SHEET,367,311.95
21724,PANDA AND BUNNIES STICKER SHEET,372,316.2
21725,SWEETIES  STICKERS,274,232.89999999999998
21726,MULTI HEARTS  STICKERS,231,196.35
21730,GLASS STAR FROSTED T-LIGHT HOLDER,497,2319.19
21731,RED TOADSTOOL LED NIGHT LIGHT,12863,19831.71
21733,RED HANGING HEART T-LIGHT HOLDER,7749,22595.190000000002
21735,TWO DOOR CURIO CABINET,210,2551.95
21736,GOLD SCROLL GLASS T-LIGHT HOLDER,80,137.22000000000003
21738,COSY SLIPPER SHOES SMALL  RED ,43,126.85000000000001
21739,COSY SLIPPER SHOES SMALL GREEN,141,411.54
21741,COSY SLIPPER SHOES LARGE GREEN,131,386.45000000000005
21742,LARGE ROUND WICKER PLATTER ,192,1142.4
21743,STAR PORTABLE TABLE LIGHT ,274,750.7
21744,SNOWFLAKE PORTABLE TABLE LIGHT ,365,1122.19
21745,GAOLERS KEYS DECORATIVE GARDEN ,926,3400.94
21746,SMALL RED RETROSPOT WINDMILL,2974,3521.7000000000003
21747,SMALL SKULL WINDMILL,437,527.53
21749,LARGE RED RETROSPOT WINDMILL,1900,3645.0000000000005
21750,LARGE SKULL WINDMILL,77,161.70000000000002
21754,HOME BUILDING BLOCK WORD,2633,15504.51
21755,LOVE BUILDING BLOCK WORD,1923,11398.710000000001
21756,BATH BUILDING BLOCK WORD,778,4644.530000000001
21757,LIGHTHOUSE PRINTED METAL SIGN,6,29.700000000000003
21758,VINTAGE SHELLS PRINT,32,202.4
21761,WOOD AND GLASS MEDICINE CABINET,10,299.5
21763,VINTAGE WOODEN BAR STOOL,6,169.75
21769,VINTAGE POST OFFICE CABINET,11,607.6500000000001
21770,OPEN CLOSED METAL SIGN,1574,7296.51
21773,DECORATIVE ROSE BATHROOM BOTTLE,920,693.52
21774,DECORATIVE CATS BATHROOM BOTTLE,835,647.03
21775,DECORATIVE FLORE BATHROOM BOTTLE,283,313.91
21777,RECIPE BOX WITH METAL HEART,7,55.65
21781,MA CAMPAGNE CUTLERY BOX,137,1997.55
21784,SHOE SHINE BOX ,51,507.44999999999993
21785,RAIN PONCHO ,410,267.1
21786,POLKADOT RAIN HAT ,1586,629.89
21787,RAIN PONCHO RETROSPOT,8752,6962.08
21788,KIDS RAIN MAC BLUE,1199,933.53
21789,KIDS RAIN MAC PINK,796,672.5799999999999
21790,VINTAGE SNAP CARDS,13329,10441.47
21791,VINTAGE HEADS AND TAILS CARD GAME ,7118,8500.16
21792,CLASSIC FRENCH STYLE BASKET GREEN ,331,1388.65
21793,CLASSIC FRENCH STYLE BASKET BROWN,296,1240.44
21794,CLASSIC FRENCH STYLE BASKET NATURAL,501,2064.4700000000003
21801,CHRISTMAS TREE DECORATION WITH BELL,457,191.94
21802,CHRISTMAS TREE HEART DECORATION,997,418.74
21803,CHRISTMAS TREE STAR DECORATION,1101,462.41999999999996
21804,WHITE CHRISTMAS GARLAND STARS TREES,178,656.7
21807,WHITE CHRISTMAS STAR DECORATION,414,173.88
21808,"CHRISTMAS GARLAND STARS,TREES",99,366.25
21809,CHRISTMAS HANGING TREE WITH BELL,1857,993.66
21810,CHRISTMAS HANGING STAR WITH BELL,5200,2402.12
21811,CHRISTMAS HANGING HEART WITH BELL,4328,2176.58
21812,GARLAND WITH HEARTS AND BELLS,217,1032.15
21813,GARLAND WITH STARS AND BELLS,250,1187.1000000000001
21814,HEART T-LIGHT HOLDER ,71,102.95
21815,STAR  T-LIGHT HOLDER ,131,189.95
21816,CHRISTMAS TREE T-LIGHT HOLDER,33,47.849999999999994
21817,GLITTER CHRISTMAS TREE,902,405.14000000000004
21818,GLITTER CHRISTMAS HEART ,2696,1279.04
21819,GLITTER CHRISTMAS STAR ,2462,1053.46
21820,GLITTER HEART GARLAND WITH BELLS ,288,1068.59
21821,GLITTER STAR GARLAND WITH BELLS ,223,825.45
21822,GLITTER CHRISTMAS TREE WITH BELLS,573,527.65
21823,PAINTED METAL HEART WITH HOLLY BELL,1195,687.5899999999999
21824,PAINTED METAL STAR WITH HOLLY BELLS,1449,697.61
21826,EIGHT PIECE DINOSAUR SET,92,115.0
21827,EIGHT PIECE CREEPY CRAWLIE SET,6,7.5
21828,EIGHT PIECE SNAKE  SET,311,388.75
21829,DINOSAUR KEYRINGS ASSORTED,6354,1310.25
21830,ASSORTED CREEPY CRAWLIES,2551,1073.47
21832,CHOCOLATE CALCULATOR,779,1296.83
21833,CAMOUFLAGE LED TORCH,2628,4278.12
21836,GINGHAM OVEN GLOVE RED HEART ,3,11.25
21839,MUMMY MOUSE RED GINGHAM RIBBON,1,5.45
21841,BABY MOUSE RED GINGHAM DRESS,72,306.0
21843,RED RETROSPOT CAKE STAND,1808,17918.8
21844,RED RETROSPOT MUG,1813,4969.150000000001
21845,DAIRY MAID STRIPE MUG,1906,1720.3000000000002
21846,PINK DIAMANTE PEN IN GIFT BOX,72,365.62
21847,GREEN  DIAMANTE PEN IN GIFT BOX,9,44.550000000000004
21849,SILVER DIAMANTE PEN IN GIFT BOX,50,250.84000000000003
21850,BLUE  DIAMANTE PEN IN GIFT BOX,60,271.8
21851,LILAC DIAMANTE PEN IN GIFT BOX,26,138.72
21864,UNION JACK FLAG PASSPORT COVER ,609,1190.3400000000001
21865,PINK UNION JACK  PASSPORT COVER ,220,457.08000000000004
21866,UNION JACK FLAG LUGGAGE TAG,534,666.71
21867,PINK UNION JACK  LUGGAGE TAG,261,330.02
21868,POTTING SHED TEA MUG,2344,2924.48
21870,I CAN ONLY PLEASE ONE PERSON MUG,1349,1658.89
21871,SAVE THE PLANET MUG,5264,6150.13
21872,GLAMOROUS  MUG,1265,1365.73
21873,IF YOU CAN'T STAND THE HEAT MUG,1583,1748.59
21874,GIN AND TONIC MUG,2845,3715.6099999999997
21875,KINGS CHOICE MUG,2000,2249.56
21876,POTTERING MUG,3541,4049.61
21877,HOME SWEET HOME MUG,5340,6698.56
21878,PACK OF 6 SANDCASTLE FLAGS ASSORTED,2396,1972.8999999999999
21879,HEARTS GIFT TAPE,1025,301.93
21880,RED RETROSPOT TAPE,1458,668.94
21881,CUTE CATS TAPE,975,315.55
21882,SKULLS TAPE,598,189.98000000000002
21883,STARS GIFT TAPE ,1368,581.0600000000001
21884,CAKES AND BOWS GIFT  TAPE,1017,318.81
21888,BINGO SET,1551,5718.21
21889,WOODEN BOX OF DOMINOES,5766,7200.95
21890,S/6 WOODEN SKITTLES IN COTTON BAG,1070,3247.16
21891,TRADITIONAL WOODEN SKIPPING ROPE,7904,9998.32
21892,TRADITIONAL WOODEN CATCH CUP GAME ,2910,3651.75
21894,POTTING SHED SEED ENVELOPES,471,604.48
21895,POTTING SHED SOW 'N' GROW SET,1,4.25
21896,POTTING SHED TWINE,946,2152.2000000000003
21897,POTTING SHED CANDLE CITRONELLA,402,1250.82
21898,POTTING SHED ROSE CANDLE,445,1423.03
21899,"KEY FOB , GARAGE DESIGN",2600,1629.8200000000002
21900,"KEY FOB , SHED",3081,1959.13
21901,"KEY FOB , BACK DOOR ",1742,1140.26
21902,"KEY FOB , FRONT  DOOR ",1902,1168.2800000000002
21903,MAN FLU METAL SIGN,1127,2356.38
21904,HOUSE WRECKING METAL SIGN ,50,105.0
21905,MORE BUTTER METAL SIGN ,684,705.3100000000001
21906,PHARMACIE FIRST AID TIN,483,3220.81
21907,I'M ON HOLIDAY METAL SIGN,2292,4757.35
21908,CHOCOLATE THIS WAY METAL SIGN,3633,7204.320000000001
21910,WAY OUT METAL SIGN ,36,59.39999999999999
21911,GARDEN METAL SIGN ,105,173.24999999999997
21912,VINTAGE SNAKES & LADDERS,1571,5508.53
21913,VINTAGE SEASIDE JIGSAW PUZZLES,305,1142.53
21914,BLUE HARMONICA IN BOX ,7431,9218.88
21915,RED  HARMONICA IN BOX ,20945,23756.43
21916,SET 12 RETRO WHITE CHALK STICKS,4362,1771.12
21917,SET 12 KIDS  WHITE CHALK STICKS,4090,1651.14
21918,SET 12 KIDS COLOUR  CHALK STICKS,7012,2814.2799999999997
21922,UNION STRIPE WITH FRINGE  HAMMOCK,758,5674.14
21925,UNION STRIPE CUSHION COVER ,403,503.75
21926,RED/CREAM STRIPE CUSHION COVER ,414,509.9
21927,BLUE/CREAM STRIPE CUSHION COVER ,622,769.9
21928,JUMBO BAG SCANDINAVIAN PAISLEY,9699,18053.48
21929,JUMBO BAG PINK VINTAGE PAISLEY,9888,18427.9
21930,JUMBO STORAGE BAG SKULLS,5694,10865.83
21931,JUMBO STORAGE BAG SUKI,11513,21784.84
21932,SCANDINAVIAN PAISLEY PICNIC BAG,2463,4357.06
21933,PINK VINTAGE PAISLEY PICNIC BAG,2406,4289.26
21934,SKULL SHOULDER BAG,1288,2081.2
21935,SUKI  SHOULDER BAG,1763,2824.37
21936,RED RETROSPOT PICNIC BAG,3756,10365.76
21937,STRAWBERRY   PICNIC BAG,1590,4430.5
21942,SKULLS DESIGN FLANNEL,161,134.54999999999998
21943,CAKES AND RABBITS DESIGN FLANNEL ,57,48.449999999999996
21944,KITTENS DESIGN FLANNEL,232,177.88
21945,STRAWBERRIES  DESIGN FLANNEL ,225,190.79
21946,PARTY TIME DESIGN FLANNEL,72,58.9
21947,SET OF 6 HEART CHOPSTICKS,594,741.48
21948,SET OF 6 CAKE CHOPSTICKS,417,541.82
21949,SET OF 6 STRAWBERRY CHOPSTICKS,613,725.49
21955,DOORMAT UNION JACK GUNS AND ROSES,1157,6619.41
21967,PACK OF 12 SKULL TISSUES,5162,1504.9799999999998
21972,SET OF 36 DINOSAUR PAPER DOILIES,292,423.4
21973,SET OF 36 MUSHROOM PAPER DOILIES,159,230.54999999999998
21974,SET OF 36 PAISLEY FLOWER DOILIES,2036,2942.5099999999998
21975,PACK OF 60 DINOSAUR CAKE CASES,12106,5919.280000000001
21976,PACK OF 60 MUSHROOM CAKE CASES,4936,2496.08
21977,PACK OF 60 PINK PAISLEY CAKE CASES,24230,11611.0
21980,PACK OF 12 RED RETROSPOT TISSUES ,6521,2002.7299999999998
21981,PACK OF 12 WOODLAND TISSUES ,5281,1508.87
21982,PACK OF 12 SUKI TISSUES ,6907,1995.05
21983,PACK OF 12 BLUE PAISLEY TISSUES ,2223,712.7299999999999
21984,PACK OF 12 PINK PAISLEY TISSUES ,3294,999.5999999999999
21985,PACK OF 12 HEARTS DESIGN TISSUES ,8541,2542.17
21986,PACK OF 12 PINK POLKADOT TISSUES,3985,1129.79
21987,PACK OF 6 SKULL PAPER CUPS,2050,1254.74
21988,PACK OF 6 SKULL PAPER PLATES,2194,1663.3
21989,PACK OF 20 SKULL PAPER NAPKINS,2065,1672.6899999999998
21990,MODERN FLORAL STATIONERY SET,1212,1734.6
21991,BOHEMIAN COLLAGE STATIONERY SET,471,675.53
21992,VINTAGE PAISLEY STATIONERY SET,1151,1640.29
21993,FLORAL FOLK STATIONERY SET,1360,1927.3500000000001
22021,BLUE FELT EASTER EGG BASKET,350,577.4999999999999
22023,EMPIRE BIRTHDAY CARD,1131,476.25
22024,RAINY LADIES BIRTHDAY CARD,2280,918.91
22025,RING OF ROSES BIRTHDAY CARD,1764,702.0
22026,BANQUET BIRTHDAY  CARD  ,1560,642.24
22027,TEA PARTY BIRTHDAY CARD,4141,1692.71
22028,PENNY FARTHING BIRTHDAY CARD,2903,1198.45
22029,SPACEBOY BIRTHDAY CARD,7834,3120.14
22030,SWALLOWS GREETING CARD,5337,2120.55
22031,BOTANICAL LAVENDER BIRTHDAY CARD,363,158.61
22032,BOTANICAL LILY GREETING CARD,361,151.62
22033,BOTANICAL ROSE GREETING CARD,336,141.12
22034,ROBIN CHRISTMAS CARD,3,1.26
22035,VINTAGE CARAVAN GREETING CARD ,1394,569.02
22037,ROBOT BIRTHDAY CARD,3747,1552.96
22038,BOTANICAL LAVENDER GIFT WRAP ,475,199.5
22039,BOTANICAL LILY GIFT WRAP,250,105.0
22040,BOTANICAL ROSE GIFT WRAP,725,304.5
22041,"RECORD FRAME 7"" SINGLE SIZE ",3812,8450.82
22042,CHRISTMAS CARD SINGING ANGEL,360,151.2
22043,CHRISTMAS CARD SCREEN PRINT ,1188,283.32
22044,CHRISTMAS CARD STACK OF PRESENTS,816,196.44
22045,SPACEBOY GIFT WRAP,6477,2652.34
22046,TEA PARTY  WRAPPING PAPER ,2250,929.0
22047,EMPIRE GIFT WRAP,3350,1363.0
22048,BIRTHDAY BANQUET GIFT WRAP,975,393.5
22049,WRAP CHRISTMAS SCREEN PRINT,1000,270.5
22050,PINK PAISLEY ROSE GIFT WRAP,1225,498.5
22051,BLUE SCANDINAVIAN PAISLEY WRAP,975,409.5
22052,VINTAGE CARAVAN GIFT WRAP,571,239.82
22053,EMPIRE DESIGN ROSETTE,4236,3596.4199999999996
22055,MINI CAKE STAND  HANGING STRAWBERY,1246,1661.78
22057,CERAMIC PLATE STRAWBERRY DESIGN,578,648.18
22059,CERAMIC STRAWBERRY DESIGN MUG,1739,1960.47
22060,LARGE CAKE STAND HANGING HEARTS,231,1111.05
22061,LARGE CAKE STAND  HANGING STRAWBERY,564,3854.68
22062,CERAMIC BOWL WITH LOVE HEART DESIGN,554,599.74
22063,CERAMIC BOWL WITH STRAWBERRY DESIGN,537,1106.5500000000002
22064,PINK DOUGHNUT TRINKET POT ,1602,2132.7
22065,CHRISTMAS PUDDING TRINKET POT ,6418,2883.44
22066,LOVE HEART TRINKET POT,2232,1029.1399999999999
22067,CHOC TRUFFLE GOLD TRINKET POT ,385,562.53
22068,BLACK PIRATE TREASURE CHEST,432,502.37999999999994
22069,BROWN  PIRATE TREASURE CHEST ,218,237.47999999999996
22070,SMALL RED RETROSPOT MUG IN BOX ,873,2030.68
22071,SMALL WHITE RETROSPOT MUG IN BOX ,710,1295.04
22072,RED RETROSPOT TEA CUP AND SAUCER ,807,2519.19
22073,RED RETROSPOT STORAGE JAR,298,1067.1
22074,6 RIBBONS SHIMMERING PINKS ,1000,772.9399999999999
22075,6 RIBBONS ELEGANT CHRISTMAS ,1538,2004.9199999999998
22076,6 RIBBONS EMPIRE  ,1034,1302.7199999999998
22077,6 RIBBONS RUSTIC CHARM,8594,14969.839999999998
22078,RIBBON REEL LACE DESIGN ,1288,2584.8
22079,RIBBON REEL HEARTS DESIGN ,1701,2808.89
22080,RIBBON REEL POLKADOTS ,1167,1877.55
